title,release_date,tagline
Black Nativity,11/27/13,The Musical Event of the Holiday Season
The Prince,8/22/14,Mercy is for the Weak
City of Ghosts,1/1/02,
The Others,8/2/01,"Sooner or later she'll see them, then everything will be different."
Aliens,7/18/86,This Time It's War
My Fair Lady,10/21/64,The loverliest motion picture of them all!
I Know What You Did Last Summer,10/17/97,"If you're going to bury the truth, make sure it stays buried."
Let's Be Cops,8/13/14,Fake Cops. Real Trouble.
Sideways,10/22/04,In search of wine. In search of women. In search of themselves.
Beerfest,8/25/06,Prepare for the ultimate chug of war.
Halloween,10/25/78,The Night He Came Home
Good Boy!,10/10/03,Rover is about to take over.
The Best Man Holiday,11/15/13,Times change. Friendship doesn't.
Smokin' Aces,12/9/06,Nobody gets away clean.
Saw: The Final Chapter,10/21/10,The Traps Come Alive
40 Days and 40 Nights,3/1/02,Easier said than done.
A Night at the Roxbury,10/1/98,Score!
Beastly,1/21/11,Love is never ugly.
The Hills Have Eyes,3/10/06,The lucky ones die first.
Dickie Roberts: Former Child Star,9/5/03,50 million people used to watch him on TV. Now he washes their cars.
"McFarland, USA",2/20/15,Champions Can Come From Anywhere.
Lottery Ticket,8/20/10,Winning is Just the Beginning Surviving is Another Story
ATL,3/31/06,A New American Story
Pitch Perfect,9/28/12,Get pitch slapped.
Summer Catch,8/22/01,Are you game?
A Simple Plan,12/11/98,Sometimes good people do evil things.
They,11/1/02,Are you afraid of the dark? You should be.
Larry the Cable Guy: Health Inspector,3/24/06,
The Adventures of Elmo in Grouchland,10/1/99,"The Good, The Bad and The Stinky."
Brooklyn's Finest,1/16/09,This is War. This is Brooklyn.
55 Days at Peking,5/6/63,A handful of men and women held out against the frenzied hordes of bloodthirsty fanatics!
Evil Dead,4/5/13,The most terrifying film you will ever experience.
My Life in Ruins,2/6/09,The most fun you can have without a passport.
American Dreamz,3/4/06,Imagine a country where more people vote for a pop idol than they do for their next President.
Superman IV: The Quest for Peace,7/23/87,"Nuclear Power. In the best hands, it is dangerous. In the hands of Lex Luthor, it is pure evil. This is Superman's greatest battle. And it is for all of us."
