title,release_date,tagline
Avatar,12/10/09,Enter the World of Pandora.
Pirates of the Caribbean: At World's End,5/19/07,"At the end of the world, the adventure begins."
Spectre,10/26/15,A Plan No One Escapes
The Dark Knight Rises,7/16/12,The Legend Ends
John Carter,3/7/12,"Lost in our world, found in another."
Spider-Man 3,5/1/07,The battle within.
Tangled,11/24/10,They're taking adventure to new lengths.
Avengers: Age of Ultron,4/22/15,A New Age Has Come.
Harry Potter and the Half-Blood Prince,7/7/09,Dark Secrets Revealed
Batman v Superman: Dawn of Justice,3/23/16,Justice or revenge
Superman Returns,6/28/06,
Quantum of Solace,10/30/08,"For love, for hate, for justice, for revenge."
Pirates of the Caribbean: Dead Man's Chest,6/20/06,Jack is back!
The Lone Ranger,7/3/13,Never Take Off the Mask
Man of Steel,6/12/13,You will believe that a man can fly.
The Chronicles of Narnia: Prince Caspian,5/15/08,Hope has a new face.
The Avengers,4/25/12,Some assembly required.
Pirates of the Caribbean: On Stranger Tides,5/14/11,Live Forever Or Die Trying.
Men in Black 3,5/23/12,They are back... in time.
The Hobbit: The Battle of the Five Armies,12/10/14,Witness the defining chapter of the Middle-Earth saga
The Amazing Spider-Man,6/27/12,The untold story begins.
Robin Hood,5/12/10,"Rise and rise again, until lambs become lions."
The Hobbit: The Desolation of Smaug,12/11/13,Beyond darkness... beyond desolation... lies the greatest danger of all.
The Golden Compass,12/4/07,There are worlds beyond our own - the compass will show the way.
King Kong,12/14/05,The eighth wonder of the world.
Titanic,11/18/97,Nothing on Earth could come between them.
Captain America: Civil War,4/27/16,Divided We Fall
Battleship,4/11/12,The Battle for Earth Begins at Sea
Jurassic World,6/9/15,The park is open.
Skyfall,10/25/12,Think on your sins.
Spider-Man 2,6/25/04,There's a hero in all of us.
Iron Man 3,4/18/13,Unleash the power behind the armor.
Alice in Wonderland,3/3/10,You're invited to a very important date.
X-Men: The Last Stand,5/24/06,Take a Stand
Monsters University,6/20/13,School never looked this scary.
Transformers: Revenge of the Fallen,6/19/09,Revenge is coming.
Transformers: Age of Extinction,6/25/14,This is not war. It's extinction.
Oz: The Great and Powerful,3/7/13,"In Oz, nothing is what it seems"
The Amazing Spider-Man 2,4/16/14,No more secrets.
TRON: Legacy,12/10/10,The Game Has Changed.
Cars 2,6/11/11,Ka-ciao!
Green Lantern,6/16/11,"In our darkest hour, there will be light."
Toy Story 3,6/16/10,No toy gets left behind.
Terminator Salvation,5/20/09,The End Begins.
Furious 7,4/1/15,Vengeance Hits Home
World War Z,6/20/13,Remember Philly!
X-Men: Days of Future Past,5/15/14,"To save the future, they must alter the past"
Star Trek Into Darkness,5/5/13,Earth Will Fall
Jack the Giant Slayer,2/27/13,Prepare for a giant adventure
The Great Gatsby,5/10/13,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.
Prince of Persia: The Sands of Time,5/19/10,Defy the Future
Pacific Rim,7/11/13,"To Fight Monsters, We Created Monsters"
Transformers: Dark of the Moon,6/28/11,The invasion we always feared. An enemy we never expected.
Indiana Jones and the Kingdom of the Crystal Skull,5/21/08,The adventure continues . . .
The Good Dinosaur,11/14/15,Little Arms With Big Attitude
Brave,6/21/12,Change your fate.
Star Trek Beyond,7/7/16,
WALL·E,6/22/08,An adventure beyond the ordinar-E.
Rush Hour 3,8/8/07,The Rush Is On!
2012,10/10/09,We Were Warned.
A Christmas Carol,11/4/09,Season's Greedings
Jupiter Ascending,2/4/15,Expand your universe.
The Legend of Tarzan,6/29/16,Human. Nature.
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12/7/05,Evil Has Reigned For 100 Years...
X-Men: Apocalypse,5/18/16,Only the strong will survive
The Dark Knight,7/16/08,Why So Serious?
Up,5/13/09,
Monsters vs Aliens,3/19/09,"When aliens attack, monsters fight back."
Iron Man,4/30/08,Heroes aren't born. They're built.
Hugo,11/22/11,One of the most legendary directors of our time takes you on an extraordinary adventure.
Wild Wild West,6/29/99,It's a whole new west.
The Mummy: Tomb of the Dragon Emperor,7/1/08,A New Evil Awakens.
Suicide Squad,8/2/16,Worst Heroes Ever
Evan Almighty,6/9/07,A comedy of biblical proportions
Edge of Tomorrow,5/27/14,"Live, Die, Repeat"
Waterworld,7/28/95,Beyond the horizon lies the secret to a new beginning.
G.I. Joe: The Rise of Cobra,8/4/09,"When all else fails, they don't."
Inside Out,6/9/15,Meet the little voices inside your head.
The Jungle Book,4/7/16,
Iron Man 2,4/28/10,"It's not the armor that makes the hero, but the man inside."
Snow White and the Huntsman,5/30/12,The Fairytale is Over
Maleficent,5/28/14,Don't believe the fairy tale.
Dawn of the Planet of the Apes,6/26/14,One last chance for peace.
The Lovers,2/13/15,Love is longer than life.
47 Ronin,12/6/13,For courage. For loyalty. For honor.
Captain America: The Winter Soldier,3/20/14,In heroes we trust.
Shrek Forever After,5/16/10,It ain't Ogre... Til it's Ogre
Tomorrowland,5/19/15,Imagine a world where nothing is impossible.
Big Hero 6,10/24/14,From the creators of Wreck-it Ralph and Frozen
Wreck-It Ralph,11/1/12,The story of a regular guy just looking for a little wreck-ognition.
The Polar Express,11/10/04,This holiday season... believe.
Independence Day: Resurgence,6/22/16,We had twenty years to prepare. So did they.
How to Train Your Dragon,3/5/10,One adventure will change two worlds
Terminator 3: Rise of the Machines,7/2/03,The Machines Will Rise.
Guardians of the Galaxy,7/30/14,All heroes start somewhere.
Interstellar,11/5/14,Mankind was born on Earth. It was never meant to die here.
Inception,7/14/10,Your mind is the scene of the crime.
Shin Godzilla,7/29/16,A god incarnate. A city doomed.
The Hobbit: An Unexpected Journey,11/26/12,From the smallest beginnings come the greatest legends.
The Fast and the Furious,6/22/01,Live life 1/4 mile at a time.
The Curious Case of Benjamin Button,11/24/08,"Life isn't measured in minutes, but in moments."
X-Men: First Class,5/24/11,Witness the moment that will change our world.
The Hunger Games: Mockingjay - Part 2,11/18/15,The fire will burn forever.
The Sorcerer's Apprentice,7/13/10,It's The Coolest Job Ever.
Poseidon,5/12/06,Mayday
Alice Through the Looking Glass,5/25/16,It's time for a little madness.
Shrek the Third,5/17/07,Who's ready for Thirds?
Warcraft,5/25/16,Two worlds. One home.
Terminator Genisys,6/23/15,Reset the future
The Chronicles of Narnia: The Voyage of the Dawn Treader,8/13/10,Return to magic. Return to hope. Return to Narnia.
Pearl Harbor,5/21/01,It takes a moment to change history. It takes love to change lives.
Transformers,6/27/07,Their war. Our world.
Alexander,11/21/04,The greatest legend of all was real.
Harry Potter and the Order of the Phoenix,6/28/07,Evil Must Be Confronted.
Harry Potter and the Goblet of Fire,11/5/05,Dark And Difficult Times Lie Ahead.
Hancock,7/1/08,Bad Behavior. Bad Attitude. Real Hero.
I Am Legend,12/14/07,The last man on Earth is not alone
Charlie and the Chocolate Factory,7/13/05,Willy Wonka is semi-sweet and nuts.
Ratatouille,6/22/07,He's dying to become a chef.
Batman Begins,6/10/05,Evil fears the knight.
Madagascar: Escape 2 Africa,10/30/08,Still together. Still lost!
Night at the Museum: Battle of the Smithsonian,5/20/09,When the lights go off the battle is on.
X-Men Origins: Wolverine,4/28/09,Witness the Origin.
The Matrix Revolutions,11/5/03,Everything that has a beginning has an end.
Frozen,11/27/13,Only the act of true love will thaw a frozen heart.
The Matrix Reloaded,5/15/03,Free your mind.
Thor: The Dark World,10/29/13,Delve into the darkness
Mad Max: Fury Road,5/13/15,What a Lovely Day.
Angels & Demons,5/13/09,
Thor,4/21/11,Two worlds. One hero.
Bolt,11/21/08,Fully Awesome. Ridonculous. Let It Begin.
G-Force,7/21/09,The world needs bigger heroes
Wrath of the Titans,3/27/12,Feel the Wrath
Dark Shadows,5/8/12,Every Family Has Its Demons
Mission: Impossible - Rogue Nation,7/23/15,Desperate Times. Desperate Measures.
The Wolfman,2/11/10,When the moon is full the legend comes to life
Bee Movie,10/28/07,Born to bee wild.
Kung Fu Panda 2,5/25/11,Prepare for the Year of Awesomeness!
The Last Airbender,6/30/10,"Four nations, one destiny"
Mission: Impossible III,5/3/06,The Mission Begins 05:05:06.
White House Down,6/27/13,It will start like any other day.
Mars Needs Moms,3/9/11,Mom needs a little space.
Flushed Away,10/22/06,Someone's Going Down
Pan,9/24/15,Every legend has a beginning.
Mr. Peabody & Sherman,2/7/14,He's Leaving His Mark On History
Troy,5/13/04,For passion. For honor. For destiny. For victory. For love.
Madagascar 3: Europe's Most Wanted,6/6/12,"Six years ago, they disappeared without a trace. Next summer, they finally resurface."
Die Another Day,11/17/02,He’s never been cooler.
Ghostbusters,7/14/16,Who You Gonna Call?
Armageddon,7/1/98,The Earth's Darkest Day Will Be Man's Finest Hour
Men in Black II,7/3/02,Same Planet. New Scum.
Beowulf,11/5/07,Evil breeds pain.
Kung Fu Panda 3,1/23/16,Grab destiny by the rice dumplings.
Mission: Impossible - Ghost Protocol,12/7/11,No Plan. No Backup. No Choice.
Rise of the Guardians,11/21/12,You better believe.
Fun with Dick and Jane,12/21/05,Giving big businesses a run for their money!
The Last Samurai,12/5/03,"In the face of an enemy, in the heart of one man, lies the soul of a warrior."
Exodus: Gods and Kings,12/3/14,"Once brothers, now enemies."
Star Trek,5/6/09,The future begins.
Spider-Man,5/1/02,With great power comes great responsibility.
How to Train Your Dragon 2,6/12/14,The training is over.
Gods of Egypt,2/25/16,The battle for eternity begins
Stealth,7/28/05,Fear The Sky
Watchmen,3/5/09,Justice is coming to all of us.  No matter what we do.
Lethal Weapon 4,7/10/98,The faces you love. The action you expect.
Hulk,6/19/03,Unleash the hero within
G.I. Joe: Retaliation,3/26/13,
Sahara,4/6/05,Dirk Pitt. Adventure has a new name.
Final Fantasy: The Spirits Within,7/2/01,Unleash a new reality
Captain America: The First Avenger,7/22/11,When patriots become heroes
The World Is Not Enough,11/8/99,As the countdown begins for the new millennium there is still one number you can always count on.
Master and Commander: The Far Side of the World,11/14/03,The courage to do the impossible lies in the hearts of men.
The Twilight Saga: Breaking Dawn - Part 2,11/13/12,The epic finale that will live forever
Happy Feet Two,11/17/11,Every step counts.
The Incredible Hulk,6/12/08,You'll like him when he's angry.
The BFG,6/1/16,The world is more giant than you can imagine.
The Revenant,12/25/15,"(n. One who has returned, as if from the dead.)"
Turbo,7/11/13,SLO NO MO
Rango,3/2/11,Heroes come in all different colors.
Penguins of Madagascar,11/22/14,The Movie Event That Will Blow Their Cover
The Bourne Ultimatum,8/3/07,Remember everything. Forgive nothing.
Kung Fu Panda,6/4/08,Prepare for awesomeness.
Ant-Man,7/14/15,Heroes don't get any bigger.
